date,cash,positions_value,equity
2021-03-22,10000.0,0.0,10000.0
2021-03-23,10000.0,0.0,10000.0
2021-03-24,10000.0,0.0,10000.0
2021-03-25,10000.0,0.0,10000.0
2021-03-26,10000.0,0.0,10000.0
2021-03-29,10000.0,0.0,10000.0
2021-03-30,10000.0,0.0,10000.0
2021-03-31,10000.0,0.0,10000.0
2021-04-01,10000.0,0.0,10000.0
2021-04-05,10000.0,0.0,10000.0
2021-04-06,10000.0,0.0,10000.0
2021-04-07,10000.0,0.0,10000.0
2021-04-08,10000.0,0.0,10000.0
2021-04-09,10000.0,0.0,10000.0
2021-04-12,10000.0,0.0,10000.0
2021-04-13,10000.0,0.0,10000.0
2021-04-14,10000.0,0.0,10000.0
2021-04-15,10000.0,0.0,10000.0
2021-04-16,10000.0,0.0,10000.0
2021-04-19,10000.0,0.0,10000.0
2021-04-20,10000.0,0.0,10000.0
2021-04-21,10000.0,0.0,10000.0
2021-04-22,10000.0,0.0,10000.0
2021-04-23,10000.0,0.0,10000.0
2021-04-26,10000.0,0.0,10000.0
2021-04-27,10000.0,0.0,10000.0
2021-04-28,10000.0,0.0,10000.0
2021-04-29,10000.0,0.0,10000.0
2021-04-30,10000.0,0.0,10000.0
2021-05-03,10000.0,0.0,10000.0
2021-05-04,10000.0,0.0,10000.0
2021-05-05,10000.0,0.0,10000.0
2021-05-06,10000.0,0.0,10000.0
2021-05-07,10000.0,0.0,10000.0
2021-05-10,10000.0,0.0,10000.0
2021-05-11,10000.0,0.0,10000.0
2021-05-12,10000.0,0.0,10000.0
2021-05-13,10000.0,0.0,10000.0
2021-05-14,10000.0,0.0,10000.0
2021-05-17,10000.0,0.0,10000.0
2021-05-18,10000.0,0.0,10000.0
2021-05-19,10000.0,0.0,10000.0
2021-05-20,10000.0,0.0,10000.0
2021-05-21,10000.0,0.0,10000.0
2021-05-24,10000.0,0.0,10000.0
2021-05-25,10000.0,0.0,10000.0
2021-05-26,10000.0,0.0,10000.0
